what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1260458029586
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1260458029586
started,bundle,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui",1260458029587
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1260458029587
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1260458029587
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1260458029587
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1260458029588
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1260458029588
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1260458029588
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1260458029589
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1260458029589
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1260458029589
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1260458029590
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1260458029590
os,sysinfo,,,"win32",1260458029592
arch,sysinfo,,,"x86",1260458029592
ws,sysinfo,,,"win32",1260458029592
locale,sysinfo,,,"en_US",1260458029592
processors,sysinfo,,,"8",1260458029592
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1260458029592
java.runtime.version,sysinfo,,,"1.6.0_18-ea-b03",1260458029592
java.specification.name,sysinfo,,,"Java Platform API Specification",1260458029592
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1260458029592
java.specification.version,sysinfo,,,"1.6",1260458029592
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1260458029592
