what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1260458016282
stopped,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1260458016282
activated,perspective,com.powerflasher.fdt.ui,,"com.powerflasher.fdt.ui.Perspective",1260458029545
started,bundle,org.eclipse.osgi,3.5.1.R35x_v20090827,"org.eclipse.osgi",1260458029546
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1260458029546
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1260458029546
started,bundle,com.powerflasher.fdt.core,3.5.0.1040,"com.powerflasher.fdt.core",1260458029547
started,bundle,com.powerflasher.fdt.core.dom,3.5.0.1040,"com.powerflasher.fdt.core.dom",1260458029547
started,bundle,com.powerflasher.fdt.core.mxml,3.5.0.1040,"com.powerflasher.fdt.core.mxml",1260458029547
started,bundle,com.powerflasher.fdt.core.swc,3.5.0.1040,"com.powerflasher.fdt.core.swc",1260458029547
started,bundle,com.powerflasher.fdt.professional.ui,3.5.0.1040,"com.powerflasher.fdt.professional.ui",1260458029547
started,bundle,com.powerflasher.fdt.shippedflex,3.3.0.4852_1001,"com.powerflasher.fdt.shippedflex",1260458029548
started,bundle,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui",1260458029548
started,bundle,com.powerflasher.fdt.ui.launch,3.5.0.1040,"com.powerflasher.fdt.ui.launch",1260458029548
started,bundle,com.powerflasher.fdt.ui.mxml,3.5.0.1040,"com.powerflasher.fdt.ui.mxml",1260458029548
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1260458029548
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1260458029548
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1260458029549
started,bundle,org.eclipse.core.expressions,3.4.100.v20090429-1800,"org.eclipse.core.expressions",1260458029549
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1260458029549
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1260458029550
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1260458029550
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1260458029550
started,bundle,org.eclipse.core.resources,3.5.1.R35x_v20090826-0451,"org.eclipse.core.resources",1260458029551
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1260458029551
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1260458029551
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1260458029552
