what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1260384839959
started,bundle,org.eclipse.osgi,3.5.1.R35x_v20090827,"org.eclipse.osgi",1260384839959
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1260384839970
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1260384839978
started,bundle,com.powerflasher.fdt.core,3.5.0.1040,"com.powerflasher.fdt.core",1260384839989
started,bundle,com.powerflasher.fdt.core.dom,3.5.0.1040,"com.powerflasher.fdt.core.dom",1260384839989
started,bundle,com.powerflasher.fdt.professional.ui,3.5.0.1040,"com.powerflasher.fdt.professional.ui",1260384839989
started,bundle,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui",1260384839989
started,bundle,com.powerflasher.fdt.ui.launch,3.5.0.1040,"com.powerflasher.fdt.ui.launch",1260384839989
started,bundle,com.powerflasher.fdt.ui.mxml,3.5.0.1040,"com.powerflasher.fdt.ui.mxml",1260384839990
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1260384839990
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1260384840001
started,bundle,org.eclipse.core.expressions,3.4.100.v20090429-1800,"org.eclipse.core.expressions",1260384840006
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1260384840009
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1260384840011
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1260384840011
started,bundle,org.eclipse.core.resources,3.5.1.R35x_v20090826-0451,"org.eclipse.core.resources",1260384840016
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1260384840021
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1260384840022
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1260384840028
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1260384840033
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1260384840038
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1260384840046
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1260384840048
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1260384840053
