what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1260458091308
stopped,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1260458091311
stopped,bundle,com.powerflasher.fdt.enterprise.ui,3.5.0.1040,"com.powerflasher.fdt.enterprise.ui",1260458091311
stopped,bundle,com.powerflasher.fdt.core.debugger.adapter,3.5.0.1040,"com.powerflasher.fdt.core.debugger.adapter",1260458091312
stopped,bundle,com.powerflasher.fdt.professional.ui,3.5.0.1040,"com.powerflasher.fdt.professional.ui",1260458091312
stopped,bundle,com.powerflasher.fdt.swfviewer,3.5.0.1040,"com.powerflasher.fdt.swfviewer",1260458091312
stopped,bundle,com.powerflasher.fdt.ui.launch,3.5.0.1040,"com.powerflasher.fdt.ui.launch",1260458091312
stopped,bundle,com.powerflasher.fdt.ui.mxml,3.5.0.1040,"com.powerflasher.fdt.ui.mxml",1260458091312
stopped,bundle,com.powerflasher.fdt.ui.swcoutline,3.5.0.1040,"com.powerflasher.fdt.ui.swcoutline",1260458091312
stopped,bundle,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui",1260458091312
stopped,bundle,com.powerflasher.fdt.classpatheditor.ui,3.5.0.1040,"com.powerflasher.fdt.classpatheditor.ui",1260458091313
stopped,bundle,com.powerflasher.fdt.core.mxml,3.5.0.1040,"com.powerflasher.fdt.core.mxml",1260458091313
stopped,bundle,com.powerflasher.fdt.core.dom,3.5.0.1040,"com.powerflasher.fdt.core.dom",1260458091313
stopped,bundle,com.powerflasher.fdt.core.flexProjectImporter,3.5.0.1040,"com.powerflasher.fdt.core.flexProjectImporter",1260458091313
stopped,bundle,com.powerflasher.fdt.core.launch,3.5.0.1040,"com.powerflasher.fdt.core.launch",1260458091313
stopped,bundle,com.powerflasher.fdt.doc.flash,3.2.0.1001,"com.powerflasher.fdt.doc.flash",1260458091314
stopped,bundle,com.powerflasher.fdt.enterprise.core,3.5.0.1040,"com.powerflasher.fdt.enterprise.core",1260458091314
stopped,bundle,com.powerflasher.fdt.professional.core,3.5.0.1040,"com.powerflasher.fdt.professional.core",1260458091314
stopped,bundle,com.powerflasher.fdt.core,3.5.0.1040,"com.powerflasher.fdt.core",1260458091314
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.ui",1260458091314
stopped,bundle,org.eclipse.mylyn.ide.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ui",1260458091315
stopped,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1260458091315
stopped,bundle,org.eclipse.mylyn.resources.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.resources.ui",1260458091315
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.2.0.v20091015-0500-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1260458091316
stopped,bundle,org.eclipse.mylyn.context.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.ui",1260458091316
