what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.powerflasher.fdt.ui,3.5.0.1040,"com.powerflasher.fdt.ui",1260385038736
stopped,bundle,com.powerflasher.fdt.classpatheditor.ui,3.5.0.1040,"com.powerflasher.fdt.classpatheditor.ui",1260385038745
stopped,bundle,com.powerflasher.fdt.core.mxml,3.5.0.1040,"com.powerflasher.fdt.core.mxml",1260385038745
stopped,bundle,com.powerflasher.fdt.core.dom,3.5.0.1040,"com.powerflasher.fdt.core.dom",1260385038745
stopped,bundle,com.powerflasher.fdt.core.flexProjectImporter,3.5.0.1040,"com.powerflasher.fdt.core.flexProjectImporter",1260385038759
stopped,bundle,com.powerflasher.fdt.core.launch,3.5.0.1040,"com.powerflasher.fdt.core.launch",1260385038759
stopped,bundle,com.powerflasher.fdt.doc.flash,3.2.0.1001,"com.powerflasher.fdt.doc.flash",1260385038765
stopped,bundle,com.powerflasher.fdt.enterprise.core,3.5.0.1040,"com.powerflasher.fdt.enterprise.core",1260385038778
stopped,bundle,com.powerflasher.fdt.professional.core,3.5.0.1040,"com.powerflasher.fdt.professional.core",1260385038787
stopped,bundle,com.powerflasher.fdt.core,3.5.0.1040,"com.powerflasher.fdt.core",1260385038787
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.ui",1260385038787
stopped,bundle,org.eclipse.mylyn.ide.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ui",1260385038796
stopped,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1260385038796
stopped,bundle,org.eclipse.mylyn.resources.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.resources.ui",1260385038800
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.2.0.v20091015-0500-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1260385038803
stopped,bundle,org.eclipse.mylyn.context.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.ui",1260385038803
stopped,bundle,org.eclipse.mylyn.help.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.help.ui",1260385038811
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.bugs",1260385038812
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.ui",1260385038812
